GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_BB01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_BB02,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_BB03,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate: 10-20%,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Sum â€“ 20-30%,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate: 30-40%,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1500000US380170001001,380170001001,"Block Group 1, Census Tract 1, Cass County, North Dakota",6,0,9,0,0,9,0,9,6,0,9,6,10,0,0,9,0,9,0,9,0,9,0,9
1500000US380170001002,380170001002,"Block Group 2, Census Tract 1, Cass County, North Dakota",0,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170001003,380170001003,"Block Group 3, Census Tract 1, Cass County, North Dakota",9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,9,14
1500000US380170001004,380170001004,"Block Group 4, Census Tract 1, Cass County, North Dakota",0,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170002011,380170002011,"Block Group 1, Census Tract 2.01, Cass County, North Dakota",442,0,9,184,143,99,41,38,168,105,77,63,50,9,0,9,9,15,0,9,81,53,0,9
1500000US380170002012,380170002012,"Block Group 2, Census Tract 2.01, Cass County, North Dakota",334,0,9,118,75,81,43,36,74,23,28,51,40,91,23,22,68,67,24,24,0,9,27,30
1500000US380170002013,380170002013,"Block Group 3, Census Tract 2.01, Cass County, North Dakota",479,77,98,41,0,9,41,37,121,61,45,60,46,118,48,52,70,62,44,34,69,62,9,15
1500000US380170002021,380170002021,"Block Group 1, Census Tract 2.02, Cass County, North Dakota",237,10,16,100,44,37,56,49,55,26,28,29,38,0,0,9,0,9,19,28,53,38,0,9
1500000US380170002022,380170002022,"Block Group 2, Census Tract 2.02, Cass County, North Dakota",433,22,25,93,9,15,84,61,120,9,14,111,67,8,0,9,8,12,19,24,149,65,22,27
1500000US380170002023,380170002023,"Block Group 3, Census Tract 2.02, Cass County, North Dakota",64,0,9,12,0,9,12,20,15,15,24,0,9,17,17,27,0,9,5,9,15,12,0,9
1500000US380170003001,380170003001,"Block Group 1, Census Tract 3, Cass County, North Dakota",234,5,10,40,0,9,40,24,4,0,9,4,6,30,30,25,0,9,31,31,55,46,69,50
1500000US380170003002,380170003002,"Block Group 2, Census Tract 3, Cass County, North Dakota",99,0,9,0,0,9,0,9,13,13,21,0,9,6,6,9,0,9,15,17,65,34,0,9
1500000US380170003003,380170003003,"Block Group 3, Census Tract 3, Cass County, North Dakota",20,0,9,4,4,7,0,9,2,2,3,0,9,0,0,9,0,9,0,9,14,22,0,9
1500000US380170004001,380170004001,"Block Group 1, Census Tract 4, Cass County, North Dakota",89,0,9,10,0,9,10,15,11,11,17,0,9,21,21,24,0,9,0,9,47,25,0,9
1500000US380170004002,380170004002,"Block Group 2, Census Tract 4, Cass County, North Dakota",118,0,9,7,0,9,7,12,52,0,9,52,61,10,10,15,0,9,0,9,37,36,12,19
1500000US380170004003,380170004003,"Block Group 3, Census Tract 4, Cass County, North Dakota",417,11,20,57,43,49,14,15,56,21,22,35,56,62,62,69,0,9,11,17,176,87,44,46
1500000US380170004004,380170004004,"Block Group 4, Census Tract 4, Cass County, North Dakota",208,16,23,54,21,23,33,31,30,9,14,21,23,21,8,13,13,19,10,17,42,32,35,53
1500000US380170005011,380170005011,"Block Group 1, Census Tract 5.01, Cass County, North Dakota",180,0,9,57,40,54,17,21,59,29,33,30,36,0,0,9,0,9,0,9,57,64,7,12
1500000US380170005012,380170005012,"Block Group 2, Census Tract 5.01, Cass County, North Dakota",87,0,9,19,0,9,19,22,15,15,17,0,9,19,0,9,19,22,22,25,12,20,0,9
1500000US380170005013,380170005013,"Block Group 3, Census Tract 5.01, Cass County, North Dakota",447,12,18,136,49,42,87,67,123,13,21,110,93,36,21,26,15,17,37,54,96,68,7,12
1500000US380170005014,380170005014,"Block Group 4, Census Tract 5.01, Cass County, North Dakota",245,0,9,26,5,10,21,19,23,23,21,0,9,83,71,90,12,19,22,30,91,63,0,9
1500000US380170005021,380170005021,"Block Group 1, Census Tract 5.02, Cass County, North Dakota",563,77,74,71,43,55,28,23,127,74,79,53,69,58,58,56,0,9,29,33,201,109,0,9
1500000US380170005022,380170005022,"Block Group 2, Census Tract 5.02, Cass County, North Dakota",557,13,20,81,73,58,8,13,34,14,23,20,24,52,32,39,20,31,42,43,293,120,42,40
1500000US380170006001,380170006001,"Block Group 1, Census Tract 6, Cass County, North Dakota",265,16,28,22,0,9,22,28,66,52,65,14,22,28,19,29,9,15,34,38,99,102,0,9
1500000US380170006002,380170006002,"Block Group 2, Census Tract 6, Cass County, North Dakota",53,0,9,0,0,9,0,9,9,0,9,9,15,9,0,9,9,18,35,55,0,9,0,9
1500000US380170006003,380170006003,"Block Group 3, Census Tract 6, Cass County, North Dakota",630,37,44,113,62,50,51,38,296,188,128,108,86,20,0,9,20,21,11,18,130,74,23,28
1500000US380170006004,380170006004,"Block Group 4, Census Tract 6, Cass County, North Dakota",400,11,17,77,50,76,27,34,48,0,9,48,55,9,9,16,0,9,50,48,190,109,15,26
1500000US380170007001,380170007001,"Block Group 1, Census Tract 7, Cass County, North Dakota",333,0,9,108,36,29,72,60,91,46,51,45,48,43,43,29,0,9,28,22,63,40,0,9
1500000US380170007002,380170007002,"Block Group 2, Census Tract 7, Cass County, North Dakota",960,65,45,167,83,65,84,65,167,67,50,100,57,227,95,63,132,80,80,68,168,78,86,62
1500000US380170008011,380170008011,"Block Group 1, Census Tract 8.01, Cass County, North Dakota",297,9,15,49,29,25,20,21,50,24,22,26,25,53,29,28,24,36,57,51,79,50,0,9
1500000US380170008012,380170008012,"Block Group 2, Census Tract 8.01, Cass County, North Dakota",302,5,9,161,68,48,93,84,51,41,39,10,16,35,22,35,13,20,8,14,42,35,0,9
1500000US380170008013,380170008013,"Block Group 3, Census Tract 8.01, Cass County, North Dakota",37,0,9,0,0,9,0,9,28,21,25,7,11,0,0,9,0,9,0,9,9,14,0,9
1500000US380170008014,380170008014,"Block Group 4, Census Tract 8.01, Cass County, North Dakota",193,29,43,47,33,49,14,18,70,62,35,8,13,0,0,9,0,9,0,9,40,49,7,12
1500000US380170008021,380170008021,"Block Group 1, Census Tract 8.02, Cass County, North Dakota",384,89,81,51,26,28,25,28,65,51,61,14,22,16,0,9,16,27,70,75,81,63,12,19
1500000US380170008022,380170008022,"Block Group 2, Census Tract 8.02, Cass County, North Dakota",36,0,9,0,0,9,0,9,0,0,9,0,9,23,23,27,0,9,0,9,13,21,0,9
1500000US380170008023,380170008023,"Block Group 3, Census Tract 8.02, Cass County, North Dakota",81,13,21,12,12,20,0,9,30,15,23,15,23,13,0,9,13,21,0,9,13,22,0,9
1500000US380170008024,380170008024,"Block Group 4, Census Tract 8.02, Cass County, North Dakota",236,0,9,92,0,9,92,77,50,27,32,23,36,33,11,20,22,28,13,21,48,38,0,9
1500000US380170008025,380170008025,"Block Group 5, Census Tract 8.02, Cass County, North Dakota",355,83,91,13,13,22,0,9,118,53,64,65,54,52,14,22,38,64,27,32,62,64,0,9
1500000US380170009011,380170009011,"Block Group 1, Census Tract 9.01, Cass County, North Dakota",2,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,2,9
1500000US380170009012,380170009012,"Block Group 2, Census Tract 9.01, Cass County, North Dakota",9,0,9,9,0,9,9,16,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170009013,380170009013,"Block Group 3, Census Tract 9.01, Cass County, North Dakota",383,0,9,221,97,65,124,83,69,49,62,20,33,0,0,9,0,9,0,9,61,56,32,52
1500000US380170009014,380170009014,"Block Group 4, Census Tract 9.01, Cass County, North Dakota",247,0,9,65,8,14,57,47,65,12,20,53,55,77,77,86,0,9,0,9,26,26,14,22
1500000US380170009015,380170009015,"Block Group 5, Census Tract 9.01, Cass County, North Dakota",16,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,16,26
1500000US380170009031,380170009031,"Block Group 1, Census Tract 9.03, Cass County, North Dakota",367,35,38,83,30,33,53,45,80,65,43,15,24,43,29,41,14,23,25,29,89,59,12,20
1500000US380170009032,380170009032,"Block Group 2, Census Tract 9.03, Cass County, North Dakota",306,0,9,55,0,9,55,41,89,28,33,61,45,79,51,79,28,32,16,25,50,49,17,27
1500000US380170009033,380170009033,"Block Group 3, Census Tract 9.03, Cass County, North Dakota",886,60,74,229,150,97,79,48,241,120,91,121,90,146,104,86,42,38,13,22,197,97,0,9
1500000US380170009041,380170009041,"Block Group 1, Census Tract 9.04, Cass County, North Dakota",8,0,9,0,0,9,0,9,8,8,12,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170009042,380170009042,"Block Group 2, Census Tract 9.04, Cass County, North Dakota",511,74,69,254,87,66,167,86,81,26,26,55,47,0,0,9,0,9,15,23,77,50,10,17
1500000US380170009043,380170009043,"Block Group 3, Census Tract 9.04, Cass County, North Dakota",342,0,9,74,48,61,26,21,57,40,42,17,26,84,68,62,16,25,11,18,116,80,0,9
1500000US380170010011,380170010011,"Block Group 1, Census Tract 10.01, Cass County, North Dakota",1004,61,72,224,117,82,107,82,284,155,86,129,91,140,51,45,89,51,24,26,260,133,11,20
1500000US380170010012,380170010012,"Block Group 2, Census Tract 10.01, Cass County, North Dakota",119,11,17,0,0,9,0,9,33,0,9,33,37,63,63,57,0,9,0,9,12,20,0,9
1500000US380170010013,380170010013,"Block Group 3, Census Tract 10.01, Cass County, North Dakota",345,0,9,50,36,40,14,23,83,69,50,14,23,144,63,64,81,78,0,9,68,89,0,9
1500000US380170010021,380170010021,"Block Group 1, Census Tract 10.02, Cass County, North Dakota",648,60,53,118,71,45,47,34,109,48,36,61,40,83,19,16,64,48,106,68,159,82,13,21
1500000US380170010022,380170010022,"Block Group 2, Census Tract 10.02, Cass County, North Dakota",140,0,9,62,25,28,37,50,30,30,34,0,9,0,0,9,0,9,10,16,25,28,13,20
1500000US380170101061,380170101061,"Block Group 1, Census Tract 101.06, Cass County, North Dakota",952,56,60,130,27,43,103,80,375,137,78,238,121,97,66,47,31,34,73,53,221,110,0,9
1500000US380170101062,380170101062,"Block Group 2, Census Tract 101.06, Cass County, North Dakota",1400,27,31,501,147,96,354,162,300,170,108,130,85,169,122,111,47,37,135,78,214,124,54,64
1500000US380170101071,380170101071,"Block Group 1, Census Tract 101.07, Cass County, North Dakota",421,20,33,144,93,96,51,36,77,46,42,31,40,93,47,36,46,59,20,18,55,40,12,18
1500000US380170101072,380170101072,"Block Group 2, Census Tract 101.07, Cass County, North Dakota",823,0,9,290,150,79,140,71,335,153,121,182,100,64,27,28,37,39,0,9,134,87,0,9
1500000US380170101081,380170101081,"Block Group 1, Census Tract 101.08, Cass County, North Dakota",420,0,9,178,72,79,106,61,96,50,48,46,53,36,14,21,22,28,16,25,94,59,0,9
1500000US380170101082,380170101082,"Block Group 2, Census Tract 101.08, Cass County, North Dakota",1439,28,32,420,163,95,257,109,311,249,126,62,54,285,161,113,124,63,64,51,318,128,13,21
1500000US380170101091,380170101091,"Block Group 1, Census Tract 101.09, Cass County, North Dakota",331,14,23,53,23,39,30,44,148,52,42,96,75,33,0,9,33,44,0,9,83,65,0,9
1500000US380170101092,380170101092,"Block Group 2, Census Tract 101.09, Cass County, North Dakota",80,0,9,9,9,14,0,9,31,31,36,0,9,9,0,9,9,15,31,41,0,9,0,9
1500000US380170102011,380170102011,"Block Group 1, Census Tract 102.01, Cass County, North Dakota",0,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170102012,380170102012,"Block Group 2, Census Tract 102.01, Cass County, North Dakota",203,44,43,66,50,41,16,20,21,0,9,21,32,0,0,9,0,9,0,9,39,60,33,53
1500000US380170102013,380170102013,"Block Group 3, Census Tract 102.01, Cass County, North Dakota",112,53,65,21,21,36,0,9,12,12,20,0,9,0,0,9,0,9,0,9,11,17,15,24
1500000US380170102031,380170102031,"Block Group 1, Census Tract 102.03, Cass County, North Dakota",165,20,25,28,8,14,20,23,51,51,52,0,9,57,12,19,45,56,9,15,0,9,0,9
1500000US380170102032,380170102032,"Block Group 2, Census Tract 102.03, Cass County, North Dakota",271,0,9,89,16,19,73,67,111,67,55,44,58,35,35,35,0,9,8,13,28,32,0,9
1500000US380170102033,380170102033,"Block Group 3, Census Tract 102.03, Cass County, North Dakota",74,0,9,13,0,9,13,20,14,0,9,14,21,9,9,14,0,9,0,9,11,18,27,33
1500000US380170102041,380170102041,"Block Group 1, Census Tract 102.04, Cass County, North Dakota",317,0,9,46,32,32,14,22,99,64,57,35,33,59,59,48,0,9,55,69,58,53,0,9
1500000US380170102042,380170102042,"Block Group 2, Census Tract 102.04, Cass County, North Dakota",504,0,12,169,101,101,68,79,110,38,43,72,57,25,25,31,0,12,72,51,118,52,10,17
1500000US380170103031,380170103031,"Block Group 1, Census Tract 103.03, Cass County, North Dakota",271,0,9,72,64,48,8,13,65,65,64,0,9,38,0,9,38,37,35,59,61,60,0,9
1500000US380170103032,380170103032,"Block Group 2, Census Tract 103.03, Cass County, North Dakota",350,10,17,73,21,26,52,39,181,124,65,57,47,31,17,27,14,23,13,21,42,31,0,9
1500000US380170103033,380170103033,"Block Group 3, Census Tract 103.03, Cass County, North Dakota",358,32,37,99,32,37,67,70,175,112,78,63,52,0,0,9,0,9,26,28,26,29,0,9
1500000US380170103034,380170103034,"Block Group 4, Census Tract 103.03, Cass County, North Dakota",25,0,9,0,0,9,0,9,25,0,9,25,39,0,0,9,0,9,0,9,0,9,0,9
1500000US380170103051,380170103051,"Block Group 1, Census Tract 103.05, Cass County, North Dakota",1164,0,9,223,35,38,188,92,277,191,86,86,51,301,148,111,153,111,208,113,155,91,0,9
1500000US380170103052,380170103052,"Block Group 2, Census Tract 103.05, Cass County, North Dakota",327,0,9,71,0,9,71,50,122,80,77,42,43,26,9,15,17,28,72,89,36,35,0,9
1500000US380170103061,380170103061,"Block Group 1, Census Tract 103.06, Cass County, North Dakota",595,76,59,90,27,26,63,73,97,63,62,34,43,59,40,43,19,22,15,23,245,102,13,21
1500000US380170103062,380170103062,"Block Group 2, Census Tract 103.06, Cass County, North Dakota",222,23,36,93,22,22,71,40,39,0,9,39,44,18,18,22,0,9,12,20,37,28,0,9
1500000US380170103071,380170103071,"Block Group 1, Census Tract 103.07, Cass County, North Dakota",23,0,9,0,0,9,0,9,6,0,9,6,10,11,11,13,0,9,6,9,0,9,0,9
1500000US380170401001,380170401001,"Block Group 1, Census Tract 401, Cass County, North Dakota",39,4,8,18,15,16,3,4,3,0,9,3,3,2,2,3,0,9,1,3,2,3,9,7
1500000US380170401002,380170401002,"Block Group 2, Census Tract 401, Cass County, North Dakota",59,7,10,20,15,13,5,7,4,4,6,0,9,10,8,11,2,3,2,3,0,9,16,11
1500000US380170401003,380170401003,"Block Group 3, Census Tract 401, Cass County, North Dakota",7,0,9,0,0,9,0,9,0,0,9,0,9,2,0,9,2,4,0,9,0,9,5,6
1500000US380170402001,380170402001,"Block Group 1, Census Tract 402, Cass County, North Dakota",24,5,7,3,3,5,0,9,12,12,9,0,9,0,0,9,0,9,2,3,2,3,0,9
1500000US380170402002,380170402002,"Block Group 2, Census Tract 402, Cass County, North Dakota",110,11,10,35,17,13,18,13,21,2,3,19,16,8,8,9,0,9,6,7,10,10,19,14
1500000US380170403001,380170403001,"Block Group 1, Census Tract 403, Cass County, North Dakota",59,5,8,17,0,9,17,28,0,0,9,0,9,7,7,11,0,9,23,23,0,9,7,11
1500000US380170403002,380170403002,"Block Group 2, Census Tract 403, Cass County, North Dakota",112,0,9,22,0,9,22,29,44,44,41,0,9,5,0,9,5,8,17,27,24,27,0,9
1500000US380170403003,380170403003,"Block Group 3, Census Tract 403, Cass County, North Dakota",61,2,3,3,3,5,0,9,0,0,9,0,9,0,0,9,0,9,1,3,3,4,52,47
1500000US380170404001,380170404001,"Block Group 1, Census Tract 404, Cass County, North Dakota",28,0,9,2,2,3,0,9,9,9,12,0,9,0,0,9,0,9,4,5,0,9,13,13
1500000US380170404002,380170404002,"Block Group 2, Census Tract 404, Cass County, North Dakota",13,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,3,5,0,9,10,14
1500000US380170404003,380170404003,"Block Group 3, Census Tract 404, Cass County, North Dakota",17,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,17,17
1500000US380170405001,380170405001,"Block Group 1, Census Tract 405, Cass County, North Dakota",202,0,9,137,4,7,133,197,10,4,7,6,9,0,0,9,0,9,10,9,0,9,45,65
1500000US380170405002,380170405002,"Block Group 2, Census Tract 405, Cass County, North Dakota",3740,311,193,1380,532,189,848,310,797,485,238,312,151,616,259,147,357,209,102,99,439,165,95,83
1500000US380170405003,380170405003,"Block Group 3, Census Tract 405, Cass County, North Dakota",14,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,14,22
1500000US380170406001,380170406001,"Block Group 1, Census Tract 406, Cass County, North Dakota",96,7,11,42,2,3,40,33,16,8,12,8,9,0,0,9,0,9,0,9,10,9,21,19
1500000US380170406002,380170406002,"Block Group 2, Census Tract 406, Cass County, North Dakota",5,0,9,3,3,4,0,9,0,0,9,0,9,2,0,9,2,3,0,9,0,9,0,9
1500000US380170406003,380170406003,"Block Group 3, Census Tract 406, Cass County, North Dakota",74,14,18,25,8,8,17,16,16,13,16,3,4,0,0,9,0,9,0,9,12,10,7,6
